id,parent_id,root_id,trd_buy_id,trd_buy_number_anno,ref_amendm_agreem_justif_id,ref_contract_status_id,deleted,crdate,last_update_date,supplier_id,supplier_biin,supplier_bik,supplier_iik,supplier_bank_name_kz,supplier_bank_name_ru,customer_id,customer_bin,customer_bik,customer_iik,customer_bank_name_kz,customer_bank_name_ru,contract_number,contract_number_sys,fin_year,ref_contract_agr_form_id,ref_contract_year_type_id,ref_finsource_id,ref_currency_code,contract_sum_wnds,sign_date,ec_end_date,plan_exec_date,fakt_exec_date,fakt_sum_wnds,contract_end_date,ref_contract_cancel_id,description_kz,description_ru,sign_reason_doc_name,sign_reason_doc_date,trd_buy_itogi_date_public,fakt_trade_methods_id,ec_customer_approve,ec_supplier_approve,contract_ms,supplier_legal_address,customer_legal_address,payments_terms_ru,payments_terms_kz,is_gu,exchange_rate,system_id,index_date
11,293,448,529,f5d58854-78d5-4e78-b985-b57473824b70,4,1,1,2025-10-09 23:18:22,2025-03-11 09:07:44,1011,423866410991,DNFDRUCI3NL,SQMQ0928719975166,ОАО «Федотов Шашков»,"РАО «Кузьмина, Пахомов и Куликов»",709,765976622849,UFFERUPB,PUXI9247653047420,АО «Костина Муравьева»,ЗАО «Уваров-Рогов»,25925563-10a1-4843-be06-1dd562ad1609,68321cc1-edf8-4280-b038-49d127ede91c,2017,3,3,1,EUR,42363870.79,2025-09-29,2023-10-22,2025-02-18,2025-02-04,3149824.84,2023-04-20,2,Услать дурацкий военный плод хозяйка перебивать один.,Решетка ягода ответить бетонный рис степь.,серьезный,2023-10-26,2023-04-29,8,1,0,21.67,"г. Назрань, пер. Радужный, д. 8/5 стр. 16, 544722","г. Уфа, алл. Морская, д. 377, 895259",Совещание ночь фонарик ломать дружно возмутиться термин более.,Смертельный медицина механический виднеться указанный господь карандаш правление.,1,461.43,3,2023-01-08 05:06:31
12,837,604,1143,afaec9c2-af7a-4ce1-b8a1-a1850070e6c3,3,9,0,2025-08-11 09:14:27,2025-09-30 14:03:30,1092,559921604873,IHBURUQG,BFET5410796673997,НПО «Игнатьев Носкова»,Князева и партнеры,881,490477460527,REUFRUGD159,DRBR2891161362136,ООО «Белозеров»,Казаньоргсинтез,abc2ebdb-7a63-42b7-8cba-b2b6bf495431,04e045e4-ada3-4343-aa68-e1b51938057e,2019,1,2,1,KZT,16129608.17,2024-01-15,2024-06-06,2023-11-24,2024-02-24,1315715.09,2023-10-02,3,Военный выбирать демократия тревога товар.,Райком упор порог.,правление,2023-05-31,2023-12-19,5,1,0,11.48,"г. Муром, ул. Л.Толстого, д. 415 стр. 2/1, 604474","д. Армавир, алл. Добролюбова, д. 145, 684037",Исследование металл наступать премьера пища пропадать тесно следовательно.,Секунда пламя заработать.,0,583.04,3,2023-01-15 08:45:06
13,832,52,195,c078f71c-d6cf-40b1-91fd-0dbff842b2d8,3,4,1,2023-05-02 20:23:58,2025-05-15 10:34:29,746,816819512316,GIXDRUG07NH,ICEP7238414040624,"ЗАО «Колесникова, Сысоев и Сидорова»",ОАО «Николаев Медведева»,397,618147689415,KGKERUXL8F4,UTCD3198207836667,ЧТПЗ,"АО «Зайцев, Захарова и Калинина»",32cbf0bd-dc30-41fe-ae0a-07fc9649017c,af53ddd2-2a30-49c5-93a5-1d40fedcff10,2019,2,2,1,EUR,3845935.02,2024-03-26,2025-07-02,2023-01-23,2025-01-18,5798835.11,2023-05-15,4,Зарплата художественный правление виднеться дыхание один ягода поймать.,Страсть космос новый выдержать прошептать.,сомнительный,2024-05-18,2025-10-01,1,1,0,29.36,"г. Серебряные Пруды, пр. Поселковый, д. 7/2 стр. 6/1, 649770","с. Аша, ул. Дачная, д. 4, 904712",Подробность уточнить указанный.,Приличный дружно пастух некоторый направо некоторый.,1,502.07,3,2024-06-12 10:18:29
14,1077,395,705,4b7f0d49-a91d-4557-aedb-075b75355def,3,3,1,2023-08-25 20:30:54,2023-12-24 12:39:43,692,891464100913,RIDNRUBB,TMHV1746803496355,НПО «Рожков-Калашникова»,ИП «Орлов»,1040,354232233221,AASNRUIH7AN,KRFZ0158076561252,ООО «Сергеев-Власов»,"ОАО «Ситникова, Максимова и Борисова»",5338469e-195a-4824-a210-7372a2242502,2df0da4f-000e-4170-9113-623f7e3428c4,2016,5,5,2,EUR,9567349.69,2023-12-05,2023-12-25,2023-07-13,2025-07-15,4524806.84,2024-04-03,3,Космос покидать провал очередной за.,О бок оборот еврейский.,отметить,2024-06-12,2024-03-16,6,1,0,75.84,"д. Октябрьский (Башк.), ул. Семашко, д. 44 стр. 4/9, 883220","г. Нерчинск, бул. Высотный, д. 2/2 стр. 6/2, 419383",Команда угодный плавно заявление сынок.,Наступать сынок беспомощный запретить командир триста.,1,423.22,3,2023-10-18 03:00:56
15,1107,978,418,ab855e9c-3d09-4ec0-9399-ca9d43af4d7f,1,4,0,2023-01-21 17:22:20,2025-09-22 09:57:03,985,312221691369,OQVZRUZ2,ADKG7912430657121,Порше Руссланд (Porsche),ОАО «Афанасьева-Савельева»,447,620135114811,LVCORUUSE0C,BSAQ1562082423081,"ЗАО «Блохин, Овчинников и Муравьева»",АББ (ABB),193562e5-ee46-4491-a2bd-5a31d7d4e82b,15946a7f-b101-4cca-8833-71c23ca72933,2017,5,2,5,EUR,37025800.42,2024-02-19,2023-12-22,2024-09-10,2024-10-16,7763689.19,2023-03-29,5,Степь смеяться гулять команда.,Ярко еврейский отражение совещание недостаток сынок.,инфекция,2023-04-15,2024-09-30,3,0,0,19.27,"г. Дзержинск, пер. Спортивный, д. 7/6, 176676","д. Киржач, пер. Свободный, д. 6 стр. 6/2, 944775",Очередной командир еврейский функция миф более.,Нажать сустав волк отметить советовать мгновение господь.,0,558.98,3,2023-08-01 04:35:07
16,732,503,446,f336a34e-fc03-433f-a6bb-3c86ad0d22af,4,3,1,2024-02-23 22:59:47,2024-07-31 18:41:11,996,606200560624,SYRORURY,ZVGD9515466836230,"РАО «Фомичева, Новиков и Щербаков»",НПО «Шашков-Колобов»,38,126342310216,CRZHRU15,HBSC0445214310554,ЗАО «Колобова-Орехов»,Максидом,347d3ef0-43ec-45d7-b526-e4bdb667c8dc,842cb2cb-aafe-4178-abde-75ef2f9d6463,2025,3,5,5,EUR,32609457.8,2025-02-20,2023-11-18,2025-01-23,2023-03-11,9944987.25,2025-03-08,3,Монета пропаганда адвокат художественный четко совет.,Четко легко достоинство спорт спорт.,ответить,2022-11-28,2024-08-19,7,1,0,94.72,"к. Лабинск, наб. Ленинградская, д. 2/4, 140046","ст. Снежинск, пр. Физкультурный, д. 63 стр. 577, 119523",Ломать поколение вариант тревога построить труп.,Монета ответить затянуться разнообразный крыса самостоятельно.,1,410.46,3,2024-10-02 13:47:01
17,648,572,881,16011c94-203d-4f99-a982-715cb8b5a3fe,1,1,1,2024-06-17 23:20:25,2025-01-25 12:26:15,342,885084365216,CQTSRUX6P6Z,JEYD1531258702601,ЗАО «Цветков»,ЗАО «Евдокимов Беспалова»,191,591681181127,VQQWRUUO2U1,NKRS1867331168236,РАО «Лихачев-Сидоров»,Центр финансовых технологий,ea96d6af-fc6c-45e7-ab4c-70fcdb2fdf96,74c0fed8-d332-433f-aa18-8e2259453074,2015,5,2,1,EUR,17708465.27,2025-09-05,2023-07-15,2024-05-14,2024-03-10,3636551.68,2023-07-20,3,Освобождение плод разуметься мягкий идея сынок голубчик команда.,Чем мимо провал неожиданный вчера порода.,желание,2023-06-10,2025-10-29,6,1,0,95.6,"д. Кострома, бул. Песчаный, д. 5, 357552","д. Голицыно, пер. Сенной, д. 71 к. 313, 632924",Свежий эпоха факультет неудобно.,Решетка июнь при командир.,1,540.26,3,2023-08-27 06:10:49
18,404,839,1177,b5a9f25e-866c-4ade-9920-66085c231171,4,8,1,2025-04-07 22:56:47,2023-03-30 18:49:30,303,203699846937,ZARVRU04,DMSZ1425193812851,Семенов Лтд,"НПО «Белякова, Ермаков и Гришина»",670,472666909000,ONQERU7C,DEFZ0594945559241,ВГТРК,Российские сети,990b7db2-a61f-47cf-acf2-a420229d4b14,a53e0214-1a5b-4ac7-9e8e-a93b0be9e128,2023,3,3,2,EUR,20391711.48,2023-07-14,2025-11-10,2023-05-23,2024-03-23,3243679.93,2025-04-09,5,Мучительно радость страсть угроза чувство упорно.,Сутки сравнение ночь успокоиться конференция инструкция прежний.,жестокий,2023-11-08,2023-07-24,7,1,1,14.24,"ст. Пышма, пер. Солнечный, д. 71 к. 92, 073969","ст. Советский, бул. Чапаева, д. 9/5 к. 324, 482355",Плод холодно сомнительный важный зеленый некоторый лиловый.,Металл космос бровь подробность школьный райком выразить.,1,562.87,3,2022-12-09 07:42:58
19,52,652,1155,e430c257-f859-4cfe-bd0b-f2a5a948a8ed,3,2,1,2024-12-13 15:47:38,2023-01-17 03:21:34,541,285129701310,HTKRRUVA5FZ,OTTT0851969184138,РКК Энергия,ОМПК,166,689422044856,BFOGRUGTULJ,NZME6297109232877,"РАО «Лапин, Шестаков и Доронин»",РАО «Лапин Абрамова»,da544bda-39c6-4968-9c2e-a731688038e2,aa4cb97e-bc49-4bcb-8c88-0f840acb04e6,2021,2,1,1,EUR,32490804.01,2025-09-02,2025-01-29,2023-10-14,2024-02-09,2006205.01,2023-02-24,2,Новый чувство освободить более школьный видимо.,Князь парень разнообразный естественный число падаль.,ягода,2023-04-04,2025-05-23,10,1,1,23.88,"ст. Пушкин, ш. Ленинградское, д. 771 стр. 6, 618218","клх Ямбург, ул. Детская, д. 3/1 к. 77, 650476",Редактор народ рот через коллектив.,Куча недостаток вскинуть кольцо место багровый что.,1,488.76,3,2024-05-17 02:04:30
20,72,633,168,b8e8d248-15b2-4653-a2f5-35957751f8a2,4,1,1,2025-09-07 09:53:29,2025-07-07 00:43:16,924,196478275018,IHGDRUWANF6,KYQK8142333507265,Боброва Инкорпорэйтед,ОАО «Фролова»,939,584350922486,RDECRU2G,ATVM2385314045643,Щекиноазот,ОАО «Вишнякова-Павлова»,3d51c2c6-973b-4589-b94b-a4fcfe96f502,b1337407-fd6c-47ad-bf89-e2cdb0253e18,2023,1,3,1,USD,24380730.6,2024-01-18,2024-08-17,2023-02-07,2023-12-31,3809718.89,2023-09-28,2,Столетие плясать вскакивать интеллектуальный пространство рассуждение.,Полоска единый факультет приличный.,ученый,2024-12-06,2025-03-27,5,0,0,34.52,"к. Холмск, пер. К.Маркса, д. 3, 777129","п. Оса, пер. Центральный, д. 989 к. 5, 117448",Кузнец кпсс крутой.,Табак смертельный инвалид вариант при виднеться.,0,596.42,3,2023-06-07 05:27:06
21,1180,1130,196,02c9c8db-99e4-462f-bec4-e166eb3e1d36,4,5,0,2024-03-25 04:38:46,2023-10-24 11:29:14,834,342488847846,AXMRRU73,OGXF2233001576256,АО «Петухова Ларионова»,Джонсон & Джонсон (Johnson & Johnson),983,172036281143,QFZLRUAW,BGNV5585641595842,ИП «Кудряшова»,АО «Шарапов»,68cb8fda-cc95-496e-9f4c-0512d9d53b92,4312dffd-c47c-437b-9d33-3f6cc4b89754,2022,2,1,4,USD,12792497.24,2023-11-12,2025-03-12,2025-11-19,2025-10-01,7271978.35,2024-08-26,1,Бровь сравнение дошлый применяться.,Лапа второй приятель тута адвокат.,бочок,2023-04-27,2023-12-27,8,1,1,71.52,"клх Кириши, наб. Саратовская, д. 50 к. 62, 517286","г. Моздок, пер. Портовый, д. 8 к. 3/1, 161219",Выкинуть написать магазин сохранять.,Сутки ботинок сынок скрытый.,0,523.66,3,2023-12-30 05:56:50
22,1000,443,992,7855b80c-05f7-4554-b6e7-d6b2d9577319,2,4,0,2023-03-15 04:31:58,2023-10-14 09:44:14,374,200292318657,EQJBRUIA,OXVG3971341851188,АББ (ABB),АО «Шарапова»,861,675078969251,ZQSFRU1SOA1,SLFQ7381945560257,ООО «Соколов-Григорьев»,ЗАО «Аксенов-Одинцов»,8a5da9c3-0d7b-4bb5-8b96-e4404022bed8,dc50e485-849d-432f-8895-8eef951f4d83,2020,3,3,4,KZT,21322296.94,2025-01-12,2024-11-03,2023-03-12,2023-03-03,4741506.2,2024-12-12,2,Слать снимать жить передо направо увеличиваться медицина столетие.,Передо карман намерение сутки порода неправда господь.,космос,2025-04-29,2025-09-04,1,1,0,30.01,"с. Йошкар-Ола, алл. Курская, д. 2 к. 8/5, 223527","г. Партизанск, алл. Овражная, д. 3 к. 23, 723973",Страсть мучительно полностью поговорить дружно дыхание беспомощный.,Хозяйка дорогой поговорить костер светило.,0,406.05,3,2023-10-12 16:56:14
23,954,68,127,830d3757-d69f-49de-b162-56d75874a4af,1,4,1,2024-01-12 06:39:33,2023-05-12 01:02:42,62,770842916015,FYZDRUM3J9X,FDCP2883324140740,ИП «Кузнецова Сафонов»,ООО «Голубева Щербакова»,449,286392428212,JJDURU8W,MKFL2543312623983,Тихонова Инк,ОАО «Цветков-Вишняков»,4fed124a-1da0-4976-b161-41c170343fb1,c9484270-b31a-4ad0-81ff-6c4d2b9221d9,2016,3,1,3,EUR,9651543.05,2023-12-05,2023-03-01,2023-02-28,2023-07-02,5489841.13,2022-12-31,5,Запретить лететь около отметить материя тревога.,Настать казнь запустить решетка четыре.,штаб,2024-08-29,2023-05-02,9,1,0,95.28,"клх Аршан (Бурят.), ул. Октябрьская, д. 67, 187980","клх Бологое, ул. Ушакова, д. 3/2 к. 40, 108887",Заплакать изучить тревога дошлый.,Увеличиваться грустный решение печатать изменение полевой секунда.,0,514.5,3,2023-12-16 02:03:05
24,248,986,547,fd1888b2-2f2a-457d-9690-57ac84c2b7c8,2,9,0,2025-07-28 03:19:35,2024-06-17 03:57:18,186,607825805775,WKGIRUVP7MH,UNZJ0153428494989,"РАО «Белякова, Куликов и Савин»",ООО «Турова-Мишин»,521,943162861087,ITRWRUPH,ETNG5283484878727,Панфилова Инкорпорэйтед,РАО «Шашков»,b4e511aa-b0d5-4ba7-a004-5ff2114046e9,b7ea9bcb-70ad-4b2a-9ad5-e835a7a01ba7,2018,3,3,1,KZT,7022402.92,2025-05-24,2024-05-30,2024-04-19,2025-05-05,9866399.55,2024-08-07,3,Неправда мимо бак плавно художественный собеседник.,Ученый поезд лапа оставить демократия головной равнодушный.,социалистический,2024-10-29,2024-12-16,8,0,1,81.17,"клх Сосногорск, ш. Чайкиной, д. 1 к. 9/9, 593340","к. Комсомольск-на-Амуре, алл. Лесная, д. 80 стр. 517, 284537",Дыхание трубка рай экзамен.,Наступать природа исследование командующий граница изучить указанный.,1,562.36,3,2024-04-07 16:54:18
25,1098,795,435,7eb99aef-d7e8-4b61-8ce3-04f84c41d8e3,2,9,1,2025-01-16 15:27:08,2024-02-10 23:51:10,640,578488892159,GGHCRUBEUMD,WOPY6299839335415,ИП «Русаков Рыбакова»,Мосгортранс,414,482174478101,NUAMRUEY,DGWF7654705153449,Никонова Лимитед,Компания Металл Профиль,961e1662-fed2-468a-ab86-82edaaf9f334,1e632b95-e449-43aa-8f43-080550334547,2024,3,3,3,KZT,44573014.35,2024-08-26,2024-03-12,2024-12-10,2024-10-13,9770798.48,2025-04-15,3,Следовательно радость возбуждение князь провинция что лапа.,Плод блин поздравлять второй крыса наслаждение.,способ,2023-04-06,2024-02-16,6,0,1,32.68,"с. Нижний Тагил, бул. Алтайский, д. 69 к. 95, 134555","г. Славгород, пер. Мелиоративный, д. 6/5 к. 538, 394600",Премьера изменение возможно дошлый оставить дальний.,Бочок потрясти бетонный ныне равнодушный.,0,475.8,3,2024-08-02 13:56:45
26,456,537,697,adc2895b-08a5-4f2b-b720-65b6a42e09e4,2,10,1,2024-09-25 04:09:03,2022-12-06 08:34:12,270,328451698613,TMGPRUH3GTC,UFPN2951648432771,НПО «Романов»,Щербаков Групп,229,255008687289,UTSMRU9OA5N,KQMA9889540108916,Русэнергоресурс,РАО «Григорьева-Иванова»,b6336f92-58b9-4c2f-81d8-ff79baefc04a,65a9ce43-2c1a-4431-9e96-6d14df7cd629,2025,4,4,5,KZT,13392778.06,2024-08-17,2025-06-09,2023-04-12,2022-11-28,1089871.62,2023-02-15,1,Крыса реклама художественный решение солнце.,Крутой пространство степь одиннадцать ярко.,спешить,2023-04-03,2025-07-16,10,1,1,96.28,"клх Гремячинск (Бурят.), пер. Революции, д. 8 к. 83, 239273","д. Тольятти, пер. 50 лет ВЛКСМ, д. 44, 229264",Научить правление коммунизм бровь.,Задержать выгнать поговорить издали горький задержать природа.,0,486.46,3,2025-08-27 09:29:15
27,330,631,891,65e52014-444f-4cea-8d3c-a6758ee3033a,5,2,1,2025-08-03 14:35:03,2024-12-29 05:00:47,104,244659213091,CKDGRU26,FHPH7822927251387,Ларионов и партнеры,"РАО «Соловьева, Соболева и Кузьмина»",290,442331147711,YOJKRUOIDQ3,BFGY9106650010379,ОАО «Данилов-Данилов»,НПО «Петухов Павлов»,dc65830f-5723-433d-8eac-18843b87fb37,e9b771db-87e1-4ce4-a6cf-a7989e15657c,2015,5,2,1,USD,15055408.45,2025-11-13,2024-06-23,2024-08-24,2025-04-18,2884000.73,2024-07-04,2,Результат металл протягивать пастух.,Зеленый господь дальний медицина редактор смертельный пол.,ответить,2023-07-23,2025-05-17,10,0,0,87.92,"г. Пенза, бул. Абрикосовый, д. 30 стр. 2, 922192","г. Оха, ш. Минина, д. 231 стр. 210, 457305",Эпоха хотеть разнообразный посвятить разуметься.,Призыв блин иной мучительно.,1,488.83,3,2024-07-09 06:31:47
