id,lot_number,ref_lot_status_id,last_update_date,amount,name_ru,customer_bin,dumping,psd_sign,system_id
73,L-073,4,2025-11-09,1135894,Lot 73,100000000016,0,1,73
74,L-074,4,2025-10-14,2153740,Lot 74,100000000012,1,1,74
75,L-075,5,2025-09-03,4385720,Lot 75,100000000040,0,1,75
76,L-076,3,2025-08-25,1949069,Lot 76,100000000044,1,1,76
77,L-077,3,2025-09-16,4711836,Lot 77,100000000026,1,2,77
78,L-078,2,2025-11-11,1753955,Lot 78,100000000038,0,1,78
79,L-079,2,2025-10-31,1561009,Lot 79,100000000037,1,1,79
80,L-080,3,2025-10-20,1476201,Lot 80,100000000007,1,1,80
81,L-081,5,2025-09-16,3425738,Lot 81,100000000023,1,1,81
82,L-082,3,2025-09-23,2390428,Lot 82,100000000021,0,1,82
83,L-083,3,2025-09-12,819866,Lot 83,100000000046,0,1,83
84,L-084,3,2025-09-29,506178,Lot 84,100000000047,1,2,84
85,L-085,5,2025-09-17,1203804,Lot 85,100000000015,0,1,85
86,L-086,2,2025-11-05,2975904,Lot 86,100000000046,1,1,86
87,L-087,1,2025-11-04,1622612,Lot 87,100000000040,0,1,87
88,L-088,2,2025-11-10,2376222,Lot 88,100000000027,1,1,88
89,L-089,1,2025-09-27,4958568,Lot 89,100000000019,0,1,89
90,L-090,1,2025-08-31,3392778,Lot 90,100000000047,1,2,90
91,L-091,2,2025-08-30,1007941,Lot 91,100000000008,1,2,91
92,L-092,1,2025-10-08,2976389,Lot 92,100000000008,0,2,92
93,L-093,5,2025-09-23,3948441,Lot 93,100000000028,0,1,93
94,L-094,5,2025-08-27,2154938,Lot 94,100000000038,1,1,94
95,L-095,2,2025-09-28,3459649,Lot 95,100000000034,1,2,95
96,L-096,1,2025-11-04,4328471,Lot 96,100000000032,1,1,96
97,L-097,1,2025-10-22,912360,Lot 97,100000000014,1,1,97
98,L-098,2,2025-10-09,2688442,Lot 98,100000000018,0,2,98
99,L-099,5,2025-11-15,4518785,Lot 99,100000000038,0,2,99
100,L-100,1,2025-09-20,1103568,Lot 100,100000000019,1,2,100
