id,contract_number,trd_buy_id,supplier_id,supplier_biin,customer_id,contract_sum_wnds,crdate,index_date
64,C-064,85,24,100000000024,100000000015,1013692.1679073481,2025-11-05,2025-11-24
65,C-065,59,41,100000000041,100000000027,2001911.1964515697,2025-09-29,2025-11-24
66,C-066,42,21,100000000021,100000000036,860128.1166007335,2025-10-23,2025-11-24
67,C-067,38,14,100000000014,100000000039,3484192.0815305766,2025-09-27,2025-11-24
68,C-068,82,18,100000000018,100000000021,1957990.618697376,2025-08-27,2025-11-24
69,C-069,100,30,100000000030,100000000019,1052549.5315139957,2025-09-18,2025-11-24
70,C-070,90,23,100000000023,100000000047,3988714.56845006,2025-08-29,2025-11-24
71,C-071,95,2,100000000002,100000000034,4118509.6029684315,2025-08-21,2025-11-24
72,C-072,38,31,100000000031,100000000039,3971858.200964419,2025-10-12,2025-11-24
73,C-073,11,13,100000000013,100000000020,2048939.798816394,2025-10-13,2025-11-24
74,C-074,94,27,100000000027,100000000038,1752730.0859480186,2025-11-14,2025-11-24
75,C-075,99,33,100000000033,100000000038,3982089.9162860094,2025-08-31,2025-11-24
76,C-076,86,38,100000000038,100000000046,2662523.226097105,2025-10-15,2025-11-24
77,C-077,51,28,100000000028,100000000029,3438880.5551339416,2025-10-25,2025-11-24
78,C-078,93,26,100000000026,100000000028,4274478.609507278,2025-09-12,2025-11-24
79,C-079,22,20,100000000020,100000000011,4382749.366836027,2025-09-04,2025-11-24
80,C-080,73,13,100000000013,100000000016,1005470.3337463879,2025-09-02,2025-11-24
